path,transcription
audios_segment/audio_00001.wav,खेल्न थाल्यो। म academy wise खेले अ त्यसरी प्रदेशबाट मैले खेलेको तर मैले खेल्नु भन्दा नि म त्यो cricket भित्र गएर हेरेर मैले धेरै कुरा सिकेको छु हजुर पच्चीस
audios_segment/audio_00002.wav,वर्ष भयो होला मैले त्यो filmमा हेरेको तपाईले यत्रो बुझ्नु भा रहेछ तपाईलाई आफैलाई coachingको certificate लिउ जस्तो feel भएन अ अहिले financial हिसाबले म अलिकति down भएर नसिकाको हो। अ
audios_segment/audio_00003.wav,अब मेरो एउटा dream चाहिँ कस्तो छ भनेछि अब financial हिसाबले पनि अब अर्पिनलाई दुईटा तीनटा एउटा private sectorले हैन सानो सहयोग consider गर्नुभयो भने मैले पुरै cricketलाई time दिन पाए भनेछि मेरो dream
audios_segment/audio_00004.wav,चाहिँ के छ भनेछु म खोज्छु के बच्चाहरु दस वर्ष भन्दा तलका बच्चाहरु खोजेर दुई तिन जना बच्चाहरुलाई सिपाउनु भन्छ sir त्यो हैन कि एकम गए coaching गराउने हो हैन
audios_segment/audio_00005.wav,रमाइलो लागिरा छ हाम्रो youngest guest हो के। हजुर guest हजुर तिमी पनि खाने हैन खेल्ने भन्छ अब गफ गर्ने आ
audios_segment/audio_00006.wav,एकछिन गफ गरौ अनि खेलौ ल हस् तिम्रो लागि surprise छ क्या ल ice cream खाने भन्या हैन त ice cream अहि अ अहिले खान जाने है हसला दामी yes कुन flavor मन पर्छ तिमीलाई? red
audios_segment/audio_00007.wav,हजुर red red red strawberry ल तिमी cricket रमाइलो लाग्छ खेल्न खेल्न किन खेल्छ तिमी cricket
audios_segment/audio_00008.wav,किन मलाई खेल्न मन लाग्छु हो ठुलो भएर के भन्न मन छ खेलाडी हो football खेलाडी कि cricket खेलाडी
audios_segment/audio_00009.wav,हो बाबुले introduction कसरी भयो बाबुको introduction भन्दा नि हजुरको मलाई चाहिँ यो cricket मनपर्ने हजुर त्यही भएर सानै
audios_segment/audio_00010.wav,देखि batहरु दिन्थे। अनि पहिला आफु पनि खेलेको भएर उसलाई नि यसो bat दिएर हेरेको राम्रै खेल्न थाल्यो हजुर त्यही so तर धेरै देखिदैन नि त यत्रो सानो
audios_segment/audio_00011.wav,उमेरमा हैन फेरी त्यो driveहरु एकैछिन बाबासँग बस न बाबु cameraले खिचिरा छ के। ल यसरी त हुदैन एकछिन बस न ice cream धु न
audios_segment/audio_00012.wav,दादा अहिले ice cream लिन गैके्या छ के। ok ला तिम्रो म कस्तो मिठो खाजा खुवाउछु म आज उ यहाँबाट आउछु बाजेको सेकुवाबाट खाजा आउदै
audios_segment/audio_00013.wav,छ नि अ तिमी batting गर्ने नग match खेल्ने नखेल्ने दादा सँग हो match खेल्ने भए चुप लागेर सुन्ने अनि दादाले सोध्नु भको answer दिने ok त्यो हुन्छ भने match खेल्न पाउछ ice cream
audios_segment/audio_00014.wav,खान पाउछ। दादालाई हराउने आज हुन्छ म ति अहिले chess पनि खेल्न सिकाउछु ल हस ल thank you ल म अलिअलि तपाईसँग नि गफ गर्छु।
audios_segment/audio_00015.wav,बाबासँग पनि गफ गर्छु अर्पिसँग नि गफ गर्छु ल अ हेरौ ok हस बाबाको माया लाग्छ कति लाग्छ एक number
audios_segment/audio_00016.wav,ओ हो र बाबाको त धेरै लागेन त अनि हो बाबाले cricket तपाईले बाबाले cricket खेल्न सिकाइसन्छ छ हो
audios_segment/audio_00017.wav,कस्तो तिमी कता कता गएर खेल्न मन लाग्छ तिमीलाई बुल्न ह बुट खेल्न हो नेपालको लागि खेल्न मन लाग्छ
audios_segment/audio_00018.wav,दिपेन्द्र दाई कुशल दाईहरु जस्तो नेपालको लागि खेल्न मन लाग्छ हो बाबासँग एकछिन कुरा गर्छु ल ज्ञानी भाइहरु बस ल
audios_segment/audio_00019.wav,म राम्रो baby sitter हो मलाई एकदम comfortable हुन्छ दादाले अलि surprise दिन्छु ल ज्ञानी भएर बस्यो match खेल्ने match जित्नु पर्छ हो अहिले तिम्रो मेरो match पनि हुन्छ त्यहाँ बाहिर हस ok ल अघिको त्यो white ballले खेल्नु पर्छ ल
